Region,State,Male2013,Female2013,Total2013,Male2014,Female2014,Total2014,Male2015,Female2015,Total2015,Male2016,Female2016,Total2016,StateM2013,StateF2013,StateT2013,StateM2014,StateF2014,StateT2014,StateM2015,StateF2015,StateT2015,StateM2016,StateF2016,StateT2016
Plains Region,Nebraska,20,21,41,30,26,56,35,20,55,31,13,44,893900,917400,1811200,907800,915900,1823700,912200,926200,1838400,915800,929200,1845000
Pacific ,Nevada,216,182,398,202,173,375,226,193,419,225,183,408,1371000,1374500,2745400,1394400,1400800,2795200,1413100,1429600,2842700,1437900,1452400,2890400
Northeast,New Hampshire,112,45,157,212,85,297,276,104,380,317,120,437,629200,651500,1280700,633800,652700,1286500,637600,650000,1287600,644900,646400,1291300
Northeast,New Jersey,466,209,675,505,223,728,629,233,862,1034,375,1409,4232400,4484400,8716900,4261900,4494300,8756200,4267100,4509200,8776300,4259000,4503700,8762700
Plains Region,New Mexico,203,119,322,242,160,402,225,126,351,219,130,349,1003900,1036300,2040200,995900,1040800,2036700,1000700,1034600,2035300,991900,1037500,2029400
Northeast,New York,1181,500,1681,1200,539,1739,1574,592,2166,2191,818,3009,9246000,9873600,19119600,9293200,9923200,19216400,9329000,9940200,19269200,9303100,9918400,19221500
Southeast,North Carolina,505,329,834,587,380,967,732,439,1171,926,580,1506,4587700,4934800,9522500,4635800,4997200,9632900,4697100,5036600,9733700,4731200,5098700,9829900
Plains Region,North Dakota,0,0,11,18,13,31,21,13,34,35,19,54,351700,341800,693500,359600,348800,708400,369500,356900,726400,371400,354500,725900
Midwest,Ohio,1101,529,1630,1407,699,2106,1793,905,2698,2468,1145,3613,5468700,5770900,11239600,5498400,5771900,11270300,5507600,5785700,11293300,5511800,5767000,11278700
Plains Region,Oklahoma,268,243,511,269,233,502,227,200,427,230,214,444,1824900,1902000,3726900,1831900,1917600,3749500,1855900,1927800,3783700,1867200,1933600,3800800
Pacific ,Oregon,165,136,301,196,144,340,196,135,331,192,120,312,1899800,1951800,3851600,1914100,1975500,3889600,1942300,2006500,3948700,1986000,2028500,4014500
Northeast,Pennsylvania,650,308,958,744,348,1092,944,418,1362,1585,650,2235,5997200,6347100,12344300,6021700,6346400,12368000,6019500,6366900,12386400,6029200,6335500,12364700
Northeast,Rhode Island,138,52,190,142,63,205,179,75,254,197,82,279,494100,514500,1008600,490200,523600,1013700,491300,523100,1014400,490700,523300,1013900
Southeast,South Carolina,137,110,247,289,226,515,320,234,554,393,235,628,2217100,2399200,4616200,2249300,2425000,4674300,2282400,2451600,4734000,2307400,2497900,4805300
Plains Region,South Dakota,16,18,34,15,18,33,15,12,27,23,19,42,407300,404300,811600,411100,410500,821600,415100,413800,829000,419300,416500,835800
Southeast,Tennessee,417,350,767,512,351,863,606,432,1038,686,500,1186,3069300,3249400,6318700,3086900,3287900,6374800,3108900,3313900,6422800,3133100,3334700,6467700
Plains Region,Texas,667,386,1053,720,431,1151,817,470,1287,876,499,1375,12688700,13084300,25773000,12912200,13367800,26280100,13159400,13618000,26777500,13365000,13813300,27178300
Pacific ,Utah,260,172,432,268,187,455,247,201,448,284,182,466,1430900,1418500,2849400,1445400,1446400,2891800,1479700,1465500,2945200,1505600,1493700,2999300
Northeast,Vermont,44,26,70,40,24,64,54,25,79,67,34,101,296900,305800,602700,292400,307600,6.00E+05,297600,304800,602400,294700,304900,599600
Northeast,Virginia,399,241,640,493,265,758,544,276,820,761,369,1130,3843400,4102300,7945700,3875400,4130500,8006000,3891700,4159600,8051200,3917200,4163600,8080900
Pacific ,Washington,359,281,640,399,274,673,422,270,692,429,280,709,3371600,3426200,6797800,3419900,3467700,6887600,3478000,3524800,7002800,3527900,3596300,7124100
Northeast,West Virginia,317,173,490,359,195,554,381,248,629,501,232,733,883300,914900,1798200,881600,910100,1791600,877500,914000,1791500,875600,906100,1781700
Midwest,Wisconsin,388,211,599,388,239,627,416,206,622,553,313,866,2765500,2827000,5592500,2770400,2833200,5603600,2784200,2836700,5620900,2776300,2847000,5623300
Plains Region,Wyoming,26,22,48,34,20,54,22,24,46,23,27,50,286200,281100,567300,288200,280300,568500,281600,287300,568900,287400,282000,569400
